OBJECTID,NAME,Shape_Length,Shape_Area,GIS_ID
1,Garfield,4825.47308214187,825204.447212246,dcps_238
2,Garrison,5059.82813544739,1282918.08132398,dcps_239
3,"Harris, C. W",5542.04959546284,993766.582171784,dcps_247
4,Aiton,6574.04430862377,1050126.68320181,dcps_202
5,Amidon-Bowen,18831.4129858321,12828052.2038033,dcps_203
6,Bancroft,5934.67558489073,1044289.21872824,dcps_204
7,Barnard,6256.52597161831,1712534.0488499,dcps_205
8,Beers,10404.4184057239,2952702.88515584,dcps_206
9,Brent,4589.64988927427,1143600.03945159,dcps_212
10,Brightwood,6676.4901274116,1919504.02469464,dcps_213
11,Brookland @ Bunker Hill,11484.7611421527,5320068.23518619,dcps_346
12,Browne,10215.1384263053,3954357.27522849,dcps_404
13,Bruce Monroe @ Park View,6695.61230453243,2502772.17238571,dcps_296
14,Burroughs,6087.27154699253,1948219.74385681,dcps_220
15,Burrville,5658.97564011079,966655.814953042,dcps_221
16,Cleveland,5481.16558187419,1427936.93446216,dcps_224
17,"Cooke, H.D",3468.64522962416,509456.324488536,dcps_227
18,Drew,3838.46956399238,882625.074952425,dcps_231
19,Eaton,10512.9047552602,3136648.6751787,dcps_232
20,Oyster-Adams,8150.13009421626,1953376.1781403,dcps_292
21,Patterson,5019.25402867503,1012055.59030379,dcps_294
22,Payne,6006.5041991387,1489421.26812641,dcps_295
23,Plummer,5836.38444015813,1585928.41351545,dcps_299
24,Powell,6257.3560279697,1916252.32378242,dcps_300
25,Randle Highlands,8065.23873994703,2177393.01915469,dcps_316
26,Raymond,3279.5536928912,579861.508724626,dcps_302
27,"Reed, Marie",3694.55688281005,675979.863270538,dcps_284
28,Hearst,8153.8436381915,2546734.90689834,dcps_258
29,Hendley,5390.90208392658,1102535.26025511,dcps_249
30,Houston,5114.17922446874,1216817.24790561,dcps_251
31,Hyde-Addison,10795.7766500548,4577474.08351575,dcps_252
32,Janney,8701.76566365379,3181699.70556933,dcps_254
33,Ketcham,5803.15899763139,1304528.79096547,dcps_257
34,Ludlow-Taylor,3955.54491488506,668998.123940494,dcps_271
35,Malcolm X,3796.17626800043,595163.370533539,dcps_308
36,Tubman,4578.23541234539,937807.776177515,dcps_328
37,Key,14456.3381621828,6174466.54148454,dcps_272
38,Kimball,6841.47801096915,2329376.66626367,dcps_259
39,"King, Martin Luther",6386.20734514772,1428568.7539596,dcps_344
40,Lafayette,11623.060621422,6003600.69336774,dcps_261
41,Langdon,11268.4714297189,5020883.83662763,dcps_262
42,Langley,9223.76984327062,2766370.65697402,dcps_965
43,Lasalle-Backus,6155.79059148724,1674944.83125413,dcps_264
44,Leckie,25985.0291305138,15908805.1010249,dcps_266
45,Mann,12520.968782206,4493624.07478509,dcps_273
46,Maury,5380.32908792826,985443.770611631,dcps_274
47,Miner,6880.22982584131,1660738.08070079,dcps_280
48,Moten,5016.05873859688,1087723.439975,dcps_920
49,Murch,10413.2045109864,4917184.23228773,dcps_287
50,Nalle,5228.57222020901,856595.786375452,dcps_288
51,Noyes,8284.09504308787,2434253.5948571,dcps_290
52,Orr,4197.96673380935,898180.422243331,dcps_291
53,Turner,9946.1490735911,2468425.8956439,dcps_329
54,Tyler,3749.82370364904,590702.850520243,dcps_330
55,Van Ness,10337.5807119272,3544332.05955754,dcps_972
56,Walker-Jones,7229.75577484433,2521497.63438639,dcps_332
57,Watkins,9705.97951322156,2006405.98128871,dcps_333
58,West,8043.72244702149,2599597.60024022,dcps_336
59,Wheatley,6725.51339075528,2435857.01732986,dcps_335
60,Whittier,6422.75360504482,2607479.86284974,dcps_338
61,"Wilson, J.O.",4192.6825946649,699190.109302941,dcps_339
62,Ross,3669.45082681249,637408.018878615,dcps_305
63,Savoy,7048.92454402642,1826582.00790934,dcps_307
64,School Without Walls @ Francis-Stevens,10139.9624713572,4444431.91404082,dcps_409
65,Seaton,4822.84150464772,859219.907766622,dcps_309
66,Shepherd,8127.98669198279,2864729.45826919,dcps_313
67,Simon,7110.22550406311,1424113.0472193,dcps_315
68,Smothers,5656.94317655075,1369698.23001037,dcps_322
69,Stanton,5252.41623284934,1210878.89756982,dcps_319
70,Stoddert,6380.36856867565,2028857.02637918,dcps_321
71,Takoma,7009.42932403651,2043679.13700237,dcps_3241
72,Thomas,8783.72005937876,3663972.44318801,dcps_325
73,Thomson,5912.27976494432,2047192.13765805,dcps_326
74,Truesdell,4192.43566187438,920972.070878403,dcps_327
